1	90	0	-11	
2	85	0	18.56	
3	87	0	30.72	
4	101	0	38	
5	102	0	45.12	
6	103	0	55.88	
7	98	0	66.6	
8	102	0	71.44	
9	104	0	78.36	
10	105	0	80.4	
11	103	0	79.44	
12	107	0	77	
13	104	0	81.2	
14	106	0	77.68	
15	102	0	78.84	
16	103	0	77.68	
17	105	0	73.8	
18	106	0	73.6	
19	104	0	76.8	
20	103	0	73.16	
21	105	0	79.24	
22	104	0	76	
23	103	0	74.84	
24	104	0	81.24	
25	105	0	78.8	
26	106	0	76.08	
27	104	0	79.24	
28	103	0	73.96	
29	103	0	76.68	
30	176	4	86.24	
31	106	1	80	
32	204	5	76.4	
33	127	2	81.84	
34	244	7	88.68	
35	172	4	81.32	
36	120	2	79.8	
37	243	7	87.4	
38	224	6	81.68	
39	237	7	80.6	
40	220	5	89.64	
41	269	8	86	
42	224	6	89.64	
43	390	13	111.92	
44	296	9	147.44	
45	346	11	168.8	
46	445	15	182.24	
47	341	11	162.36	
48	394	13	174.68	
49	320	10	160.64	
50	367	12	167.6	
51	421	14	183.52	
52	297	9	148.12	
53	320	10	172.16	
54	300	9	147.96	
55	344	11	168.4	
56	422	14	180.44	
57	322	10	152.08	
58	299	9	162.2	
59	399	13	168.64	
60	295	9	173.68	
61	323	10	181.04	
62	371	12	196.32	
63	343	11	173.24	
64	293	9	163.44	
65	370	12	175.84	
66	326	10	202.68	
67	318	10	175.08	
68	347	11	176.04	
69	320	10	156.4	
70	322	10	165.04	
71	293	9	157.12	
72	320	10	162.6	
73	321	10	176.08	
74	319	10	175.04	
75	294	9	168.12	
76	373	12	181.08	
77	343	11	186.52	
78	392	13	160.16	
79	268	8	154.68	
80	269	8	152.56	
81	348	11	203	
82	294	9	163.84	
83	347	11	171.92	
84	269	8	158.04	
85	423	14	164.8	
86	345	11	156.52	
87	294	9	174.08	
88	417	14	171.84	
89	317	10	183.56	
90	369	12	167.8	
91	444	15	185.64	
92	346	11	172.64	
93	347	11	169.32	
94	322	10	165.72	
95	319	10	179.92	
96	345	11	173.52	
97	321	10	173.96	
98	319	10	179.84	
99	369	12	181.4	
100	319	10	155.4	
